"DateTime","NIFTY 50"
"1996-11-07 00:00:00",874.89
"1996-11-08 00:00:00",884.64
"1996-11-10 00:00:00",880.36
"1996-11-11 00:00:00",891.27
"1996-11-13 00:00:00",896.84
"1996-11-14 00:00:00",889.39
"1996-11-15 00:00:00",894.31
"1996-11-18 00:00:00",904.05
"1996-11-19 00:00:00",897.58
"1996-11-20 00:00:00",876.61
"1996-11-21 00:00:00",869.82
"1996-11-22 00:00:00",850.33
"1996-11-25 00:00:00",852.26
"1996-11-26 00:00:00",855.48
"1996-11-27 00:00:00",829.08
"1996-11-28 00:00:00",825.47
"1996-11-29 00:00:00",830.32
"1996-12-02 00:00:00",820.25
"1996-12-03 00:00:00",809.43
"1996-12-04 00:00:00",788.15
"1996-12-05 00:00:00",802.23
"1996-12-06 00:00:00",808.19
"1996-12-09 00:00:00",808.69
"1996-12-10 00:00:00",803.2
"1996-12-11 00:00:00",837.07
"1996-12-12 00:00:00",827.25
"1996-12-13 00:00:00",824.62
"1996-12-16 00:00:00",847.27
"1996-12-17 00:00:00",850.74
"1996-12-18 00:00:00",860.4
"1996-12-19 00:00:00",860.58
"1996-12-20 00:00:00",884.38
"1996-12-23 00:00:00",882
"1996-12-24 00:00:00",884.05
"1996-12-26 00:00:00",911.8
"1996-12-31 00:00:00",899.1
"1997-01-01 00:00:00",939.55
"1997-01-02 00:00:00",927.05
"1997-01-03 00:00:00",931.65
"1997-01-06 00:00:00",927.8
"1997-01-07 00:00:00",928.8
"1997-01-08 00:00:00",946.7
"1997-01-09 00:00:00",956.6
"1997-01-10 00:00:00",980.35
"1997-01-13 00:00:00",980.7
"1997-01-14 00:00:00",989.3
"1997-01-15 00:00:00",1041.8
"1997-01-16 00:00:00",1009.4
"1997-01-17 00:00:00",1001.75
"1997-01-20 00:00:00",977
"1997-01-21 00:00:00",960.5
"1997-01-22 00:00:00",987.1
"1997-01-24 00:00:00",985.9
"1997-01-27 00:00:00",1009.15
"1997-01-28 00:00:00",1021.8
"1997-01-29 00:00:00",1017.2
"1997-01-30 00:00:00",1000
"1997-01-31 00:00:00",972.65
"1997-02-03 00:00:00",948.2
"1997-02-04 00:00:00",958.3
"1997-02-05 00:00:00",962.5
"1997-02-06 00:00:00",967.75
"1997-02-07 00:00:00",978.8
"1997-02-10 00:00:00",981.45
"1997-02-11 00:00:00",992.75
"1997-02-12 00:00:00",1001
"1997-02-13 00:00:00",1002.15
"1997-02-14 00:00:00",1009.45
"1997-02-17 00:00:00",1020.1
"1997-02-18 00:00:00",1000.75
"1997-02-19 00:00:00",1011.85
"1997-02-20 00:00:00",1003.1
"1997-02-21 00:00:00",991.55
"1997-02-24 00:00:00",964.75
"1997-02-25 00:00:00",966.1
"1997-02-26 00:00:00",968.85
"1997-02-27 00:00:00",992.75
"1997-02-28 00:00:00",998.65
"1997-03-01 00:00:00",1102.95
"1997-03-03 00:00:00",1107.7
"1997-03-04 00:00:00",1117.3
"1997-03-05 00:00:00",1132.9
"1997-03-06 00:00:00",1127.25
"1997-03-10 00:00:00",1078.7
"1997-03-11 00:00:00",1052
"1997-03-12 00:00:00",1074.2
"1997-03-13 00:00:00",1066.5
"1997-03-14 00:00:00",1070.1
"1997-03-17 00:00:00",1072.6
"1997-03-18 00:00:00",1064.35
"1997-03-19 00:00:00",1052.05
"1997-03-20 00:00:00",1054.8
"1997-03-21 00:00:00",1061.4
"1997-03-25 00:00:00",1058.35
"1997-03-26 00:00:00",1059.2
"1997-03-27 00:00:00",1057.8
"1997-03-31 00:00:00",968.3
"1997-04-01 00:00:00",970.15
"1997-04-02 00:00:00",1002.2
"1997-04-03 00:00:00",1010.65
"1997-04-04 00:00:00",1001
"1997-04-07 00:00:00",990.9
"1997-04-09 00:00:00",1030.3
"1997-04-10 00:00:00",1008.35
"1997-04-11 00:00:00",1013.4
"1997-04-12 00:00:00",1003.25
"1997-04-15 00:00:00",1014.9
"1997-04-17 00:00:00",1035.2
"1997-04-21 00:00:00",1060.6
"1997-04-22 00:00:00",1059.8
"1997-04-23 00:00:00",1071.05
"1997-04-24 00:00:00",1067.2
"1997-04-25 00:00:00",1069.4
"1997-04-28 00:00:00",1065.4
"1997-04-29 00:00:00",1057.45
"1997-04-30 00:00:00",1079.85
"1997-05-02 00:00:00",1069
"1997-05-05 00:00:00",1045.5
"1997-05-06 00:00:00",1048.4
"1997-05-07 00:00:00",1044.4
"1997-05-08 00:00:00",1054.05
"1997-05-09 00:00:00",1053.35
"1997-05-12 00:00:00",1040.5
"1997-05-13 00:00:00",1031.05
"1997-05-14 00:00:00",1041.65
"1997-05-15 00:00:00",1045
"1997-05-16 00:00:00",1048.4
"1997-05-19 00:00:00",1050.8
"1997-05-20 00:00:00",1050.85
"1997-05-21 00:00:00",1042
"1997-05-22 00:00:00",1037.2
"1997-05-23 00:00:00",1033.7
"1997-05-26 00:00:00",1026.9
"1997-05-27 00:00:00",1025.7
"1997-05-28 00:00:00",1027
"1997-05-29 00:00:00",1038.2
"1997-05-30 00:00:00",1050.9
"1997-06-02 00:00:00",1064.95
"1997-06-03 00:00:00",1073.75
"1997-06-04 00:00:00",1085.75
"1997-06-05 00:00:00",1086.6
"1997-06-06 00:00:00",1082.75
"1997-06-09 00:00:00",1074.65
"1997-06-10 00:00:00",1081.1
"1997-06-11 00:00:00",1104.6
"1997-06-12 00:00:00",1120.7
"1997-06-13 00:00:00",1136.3
"1997-06-16 00:00:00",1129.7
"1997-06-17 00:00:00",1138.8
"1997-06-18 00:00:00",1159.8
"1997-06-19 00:00:00",1159.8
"1997-06-20 00:00:00",1158.35
"1997-06-23 00:00:00",1153.7
"1997-06-24 00:00:00",1155.3
"1997-06-25 00:00:00",1161.9
"1997-06-26 00:00:00",1168.2
"1997-06-27 00:00:00",1169.65
"1997-06-30 00:00:00",1192.4
"1997-07-01 00:00:00",1200.45
"1997-07-02 00:00:00",1222.95
"1997-07-03 00:00:00",1214.9
"1997-07-04 00:00:00",1216.1
"1997-07-07 00:00:00",1209.7
"1997-07-08 00:00:00",1198.25
"1997-07-09 00:00:00",1236.55
"1997-07-10 00:00:00",1239.15
"1997-07-11 00:00:00",1221.1
"1997-07-14 00:00:00",1187.05
"1997-07-15 00:00:00",1183.35
"1997-07-16 00:00:00",1183
"1997-07-17 00:00:00",1181.4
"1997-07-21 00:00:00",1165
"1997-07-22 00:00:00",1173.25
"1997-07-23 00:00:00",1200.7
"1997-07-24 00:00:00",1199.95
"1997-07-25 00:00:00",1185.05
"1997-07-28 00:00:00",1181.65
"1997-07-29 00:00:00",1190.3
"1997-07-30 00:00:00",1197.9
"1997-07-31 00:00:00",1221.5
"1997-08-01 00:00:00",1232.4
"1997-08-04 00:00:00",1250.4
"1997-08-05 00:00:00",1273.15
"1997-08-06 00:00:00",1292.95
"1997-08-07 00:00:00",1269.65
"1997-08-08 00:00:00",1256.95
"1997-08-11 00:00:00",1258.35
"1997-08-12 00:00:00",1248.45
"1997-08-13 00:00:00",1244.6
"1997-08-14 00:00:00",1227.9
"1997-08-18 00:00:00",1201.45
"1997-08-19 00:00:00",1180.7
"1997-08-20 00:00:00",1198.2
"1997-08-21 00:00:00",1181.5
"1997-08-22 00:00:00",1160.45
"1997-08-25 00:00:00",1144.3
"1997-08-26 00:00:00",1151.75
"1997-08-27 00:00:00",1168.4
"1997-08-28 00:00:00",1134.65
"1997-08-29 00:00:00",1105
"1997-09-01 00:00:00",1104.7
"1997-09-02 00:00:00",1117.15
"1997-09-03 00:00:00",1134.7
"1997-09-04 00:00:00",1137.15
"1997-09-05 00:00:00",1149.25
"1997-09-08 00:00:00",1158.25
"1997-09-09 00:00:00",1159.55
"1997-09-10 00:00:00",1154.55
"1997-09-11 00:00:00",1154.3
"1997-09-12 00:00:00",1142.85
"1997-09-15 00:00:00",1141
"1997-09-16 00:00:00",1140.15
"1997-09-17 00:00:00",1134.2
"1997-09-18 00:00:00",1109.35
"1997-09-19 00:00:00",1104.3
"1997-09-22 00:00:00",1085
"1997-09-23 00:00:00",1088.65
"1997-09-24 00:00:00",1100.85
"1997-09-25 00:00:00",1111.35
"1997-09-26 00:00:00",1116.1
"1997-09-29 00:00:00",1125.7
"1997-09-30 00:00:00",1123.8
"1997-10-01 00:00:00",1114.7
"1997-10-09 00:00:00",1134.55
"1997-10-10 00:00:00",1163.55
"1997-10-13 00:00:00",1156.95
"1997-10-14 00:00:00",1137.9
"1997-10-15 00:00:00",1150.45
"1997-10-16 00:00:00",1168.35
"1997-10-17 00:00:00",1177.8
"1997-10-20 00:00:00",1188.2
"1997-10-21 00:00:00",1174.95
"1997-10-22 00:00:00",1169.85
"1997-10-23 00:00:00",1151.65
"1997-10-24 00:00:00",1136.65
"1997-10-27 00:00:00",1120.8
"1997-10-28 00:00:00",1032.6
"1997-10-29 00:00:00",1107
"1997-10-30 00:00:00",1085.25
"1997-11-03 00:00:00",1084
"1997-11-04 00:00:00",1090.2
"1997-11-05 00:00:00",1085
"1997-11-06 00:00:00",1080.95
"1997-11-07 00:00:00",1074.8
"1997-11-10 00:00:00",1065.9
"1997-11-11 00:00:00",1073.35
"1997-11-12 00:00:00",1045
"1997-11-13 00:00:00",1022.4
"1997-11-17 00:00:00",1024.95
"1997-11-18 00:00:00",1009.8
"1997-11-19 00:00:00",987.85
"1997-11-20 00:00:00",995.15
"1997-11-21 00:00:00",1005.75
"1997-11-24 00:00:00",981.25
"1997-11-25 00:00:00",1010.7
"1997-11-26 00:00:00",1016.85
"1997-11-27 00:00:00",1046.75
"1997-11-28 00:00:00",1023.95
"1997-12-01 00:00:00",1032.65
"1997-12-02 00:00:00",1029.8
"1997-12-03 00:00:00",1030.7
"1997-12-04 00:00:00",1011.75
"1997-12-05 00:00:00",1006.3
"1997-12-08 00:00:00",1008.8
"1997-12-09 00:00:00",984.05
"1997-12-10 00:00:00",971.9
"1997-12-11 00:00:00",973.65
"1997-12-12 00:00:00",965.15
"1997-12-15 00:00:00",979.85
"1997-12-16 00:00:00",1002.35
"1997-12-17 00:00:00",1013.15
"1997-12-18 00:00:00",1009.7
"1997-12-19 00:00:00",1028.4
"1997-12-22 00:00:00",1051.4
"1997-12-23 00:00:00",1054.8
"1997-12-24 00:00:00",1054.15
"1997-12-26 00:00:00",1061.45
"1997-12-29 00:00:00",1079
"1997-12-30 00:00:00",1058.5
"1997-12-31 00:00:00",1079.4
"1998-01-01 00:00:00",1081.2
"1998-01-02 00:00:00",1086.2
"1998-01-05 00:00:00",1091.65
"1998-01-06 00:00:00",1079.15
"1998-01-07 00:00:00",1082.4
"1998-01-08 00:00:00",1057.75
"1998-01-09 00:00:00",1033.55
"1998-01-12 00:00:00",995.8
"1998-01-13 00:00:00",999.1
"1998-01-14 00:00:00",997.55
"1998-01-15 00:00:00",989.65
"1998-01-16 00:00:00",997.8
